Lab_id	Strain	ID	Barcode	DNA_conc	is_repeated
602600019600-1	2605-B1	Eclo_VC_600-1	33	x	x
602600027490-1	x	Ecol_VC_490-1	34	x	x
602500322077	x	Kpne_VC_22077	35	x	x
602600001561	x	Kpne_VC_01561	36	x	x
602600011528	2602-I2	Kpne_VC_11528	37	x	x
602600011380	2603-A2	Kpne_VC_11380	38	x	x
1379371	X	Eclo_VC_79371	39	x
602600071629-2	2614-E5	Kpne_VC_629-2	40	x
602600074520	x	Kpne_VC_74520	41	x
602600084175-1	x	Kpne_VC_175-1	42	x
602600088377	x	Kpne_VC_88377	43	x
602600094905	2618-E6	Kpne_VC_94905	44	x
602600071629-1	2614-E5	Ecol_VC_629-1	45	x
602600074312-2	2615-C8	Ecol_VC_312-2	46	x
602600086855	2617-B1	Kpne_VC_86855	47	x
602600086523	2616-I8	Kpne_VC_86523	48	x
602600086478	2617-A1	Kpne_VC_86478	49	x
602600089440	2617-F4	Kpne_VC_89440	50	x
602600094648	x	Kpne_VC_94648	51	x
602600094881	2618-G8	Kpne_VC_94881	52	x
24901362984	2606-F5	Kpne_VC_62984	53	x
602600086671	2617-A6	Cfre_VC_86671	54	x
602600072242	x	Kaer_VC_72242	55	x
1379372	x	Kpne_VC_79372	56	x
