Eclo_VC_600-1 	 17.09 	 Enterobacter hormaechei 
Eclo_VC_600-1 	 4.03 	 Enterobacter cloacae 
Eclo_VC_79371 	 48.76 	 Enterobacter hormaechei 
Ecol_VC_312-2 	 58.54 	 Escherichia coli 
Ecol_VC_490-1 	 56.52 	 Escherichia coli 
Kaer_VC_72242 	 67.11 	 Klebsiella aerogenes 
Kaer_VC_72242 	 6.07 	 Leclercia adecarboxylata 
Kpne_VC_01561 	 71.42 	 Klebsiella pneumoniae 
Kpne_VC_11528 	 35.49 	 Klebsiella pneumoniae 
Kpne_VC_175-1 	 65.83 	 Klebsiella pneumoniae 
Kpne_VC_22077 	 67.02 	 Klebsiella pneumoniae 
Kpne_VC_629-2 	 74.07 	 Klebsiella pneumoniae 
Kpne_VC_62984 	 70.74 	 Klebsiella pneumoniae 
Kpne_VC_74520 	 49.25 	 Klebsiella pneumoniae 
Kpne_VC_79372 	 59.60 	 Klebsiella quasipneumoniae 
Kpne_VC_86478 	 67.63 	 Klebsiella pneumoniae 
Kpne_VC_86523 	 74.32 	 Klebsiella pneumoniae 
Kpne_VC_86855 	 33.04 	 Klebsiella pneumoniae 
Kpne_VC_86855 	 14.21 	 Escherichia coli 
Kpne_VC_89440 	 74.36 	 Klebsiella pneumoniae 
Kpne_VC_94648 	 70.85 	 Klebsiella pneumoniae 
Kpne_VC_94881 	 66.70 	 Klebsiella pneumoniae 
