Sample,Majority_genus,Majority_species,Subspecies,MLST,Serotype,KO_locus,Contaminants,Carbapenemase,ESBL,Other_resistance,N_AMR_genes,AMRscore,VIRscore,MLST_scheme,allele_1,allele_2,allele_3,allele_4,allele_5,allele_6,allele_7,Possible_MLSTs,Possible_alleles
Eclo_VC_600-1,Enterobacter   (76%),Enterobacter hormaechei  (17%),Enterobacter hormaechei subsp. xiangfangensis,114,-:-,KL53/O3/O3a,Enterobacter cloacae  (4%),OXA-48,CTX-M-15,"TEM-1D, ACT-16, OXA-1",17,3,0,ecloacae,dnaA(53),fusA(35),gyrB(20),leuS(44),pyrG(45),rplB(4),rpoB(6),,
Eclo_VC_79371,Enterobacter   (70%),Enterobacter hormaechei  (49%),Enterobacter hormaechei subsp. steigerwaltii,106,-:-,KL43/O3/O3a,-,VIM-1,SHV-12,ACT-15*,11,3,0,ecloacae,dnaA(58),fusA(41),gyrB(14),leuS(6),pyrG(69),rplB(4),rpoB(6),,
Ecol_VC_312-2,Escherichia   (61%),Escherichia coli  (59%),Escherichia coli B str. REL606,93,O15:H33,KL156-D1/OL102,-,OXA-48,-,-,2,3,0,ecoli_achtman_4,adk(6),fumC(11),gyrB(4),icd(10),mdh(7),purA(8),recA(6),,
Ecol_VC_490-1,Escherichia   (60%),Escherichia coli  (57%),Escherichia coli STEC_B2F1,442,O91:H21,KL156-D1/OL102,-,OXA-48,-,AmpC1*,3,3,3,ecoli_achtman_4,adk(6),fumC(95),gyrB(33),icd(18),mdh(9),purA(8),recA(14),,
Kaer_VC_72242,Klebsiella   (72%),Klebsiella aerogenes  (67%),Klebsiella aerogenes,372,O8:-,KL68/O5,Leclercia adecarboxylata  (6%),-,-,TEM-1D,5,0,0,kaerogenes,dnaA(2),fusA(3),gyrB(2),leuS(3),pryG(2),rplB(8),rpoB(2),,
Kpne_VC_01561,Klebsiella   (85%),Klebsiella pneumoniae  (71%),Klebsiella pneumoniae MGH 36,1393,-:-,KL8/O1/O2v1,-,-,CTX-M-15,"TEM-1D, OXA-1",12,1,1,klebsiella,gapA(2),infB(1),mdh(37),pgi(2),phoE(3),rpoB(1),tonB(19),,
Kpne_VC_11528,Klebsiella   (84%),Klebsiella pneumoniae  (35%),Klebsiella pneumoniae,15,-:-,KL48/O1/O2v1,-,-,CTX-M-15,"TEM-1D, OXA-1",10,1,1,klebsiella,gapA(1),infB(1),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(1),,
Kpne_VC_175-1,Klebsiella   (81%),Klebsiella pneumoniae  (66%),Klebsiella pneumoniae,5118,-:-,KL16/O1/O2v1,-,KPC-2,-,DHA-1,15,2,0,klebsiella,gapA(2),infB(6),mdh(4),pgi(2),phoE(1),rpoB(5),tonB(66),,
Kpne_VC_22077,Klebsiella   (83%),Klebsiella pneumoniae  (67%),Klebsiella pneumoniae MGH 36,1393,-:-,KL8/O1/O2v1,-,-,CTX-M-15,"TEM-1D, OXA-1",12,1,1,klebsiella,gapA(2),infB(1),mdh(37),pgi(2),phoE(3),rpoB(1),tonB(19),,
Kpne_VC_629-2,Klebsiella   (86%),Klebsiella pneumoniae  (74%),Klebsiella pneumoniae,5994,-:-,KL13/O1/O2v1,-,OXA-48,CTX-M-15,"TEM-1D, OXA-1",12,2,0,klebsiella,gapA(4),infB(1),mdh(2),pgi(37),phoE(21),rpoB(1),tonB(64),,
Kpne_VC_62984,Klebsiella   (84%),Klebsiella pneumoniae  (71%),Klebsiella pneumoniae,5994,-:-,KL13/O1/O2v1,-,-,CTX-M-15,"TEM-1D, OXA-1",11,1,0,klebsiella,gapA(4),infB(1),mdh(2),pgi(37),phoE(21),rpoB(1),tonB(64),,
Kpne_VC_74520,Klebsiella   (86%),Klebsiella pneumoniae  (49%),Klebsiella pneumoniae,11,-:-,KL24/O1/O2v1,-,OXA-48,CTX-M-15,-,3,2,1,klebsiella,gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4),,
Kpne_VC_79372,Klebsiella   (82%),Klebsiella quasipneumoniae  (60%),Klebsiella pneumoniae UCICRE 2,489,O9:-,KL53/O3/O3a,-,-,SHV-18,OXA-2,4,1,0,klebsiella,gapA(18),infB(22),mdh(26),pgi(71),phoE(98),rpoB(52),tonB(51),,
Kpne_VC_86478,Klebsiella   (80%),Klebsiella pneumoniae  (68%),Klebsiella pneumoniae,307,-:-,KL102/O1/O2v2,-,-,CTX-M-15,"TEM-1D, OXA-1",12,1,1,klebsiella,gapA(4),infB(1),mdh(2),pgi(52),phoE(1),rpoB(1),tonB(7),,
Kpne_VC_86523,Klebsiella   (86%),Klebsiella pneumoniae  (74%),Klebsiella pneumoniae,307,-:-,KL102/O1/O2v2,-,-,CTX-M-15,TEM-1D,8,1,1,klebsiella,gapA(4),infB(1),mdh(2),pgi(52),phoE(1),rpoB(1),tonB(7),,
Kpne_VC_86855,Klebsiella   (60%),Klebsiella pneumoniae  (33%),Klebsiella pneumoniae,15,-:-,KL39/O1/O2v1,Escherichia coli  (14%),-,CTX-M-15,TEM-1D,3,1,0,klebsiella,gapA(1),infB(1),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(1),,
Kpne_VC_89440,Klebsiella   (87%),Klebsiella pneumoniae  (74%),Klebsiella pneumoniae BIDMC 23,469,O9:-,KL139/O3b,-,-,CTX-M-15,-,10,1,0,klebsiella,gapA(2),infB(1),mdh(2),pgi(1),phoE(10),rpoB(1),tonB(4),,
Kpne_VC_94648,Klebsiella   (83%),Klebsiella pneumoniae  (71%),Klebsiella pneumoniae MGH 36,1393,-:-,KL8/O1/O2v1,-,-,CTX-M-15,"TEM-1D, OXA-1",12,1,1,klebsiella,gapA(2),infB(1),mdh(37),pgi(2),phoE(3),rpoB(1),tonB(19),,
Kpne_VC_94881,Klebsiella   (81%),Klebsiella pneumoniae  (67%),Klebsiella pneumoniae,22,-:-,KL9/O1/O2v2,-,-,CTX-M-15,"TEM-1D, OXA-1",13,1,1,klebsiella,gapA(2),infB(3),mdh(1),pgi(1),phoE(1),rpoB(4),tonB(4),,
